key,english,korean,italian,russian,spanish,french,german,turkish,japanese,pt
free,Free,무료,Gratuito,Бесплатно,Gratis,Gratuit,Frei,Özgür,無料,Grátis
getFullVersion,FULL PACKAGE,풀 패키지,VERSIONE COMPLETA,ПОЛНАЯ ВЕРСИЯ,VERSIÓN COMPLETA,VERSION COMPLÈTE,KOMPLETTPACKET,TÜM PAKET,Full Package,Pacote Completo
korean,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어
english,English,English,English,English,English,English,English,English,English,English
russian,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский
french,français,français,français,français,français,français,français,français,français,français
turkish,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe
Italian,Italian,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,İtalyanca,Italiano,italiano
german,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
spanish,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español
japanese,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語
portuguese,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português
language,Language,언어,Lingua,Язык,Idioma,Langue,Sprache,Dil,言語,Linguagem
menu,MENU,메뉴,MENU,МЕНЮ,MENÚ,MENU,MENÜ,MENÜ,メニュー,Menu
ok,OK,확인,OK,ОК,OK,OK,OK,TAMAM,確認,OK
cancel,Cancel,취소,Annulla,Отмена,Cancelar,Annuler,Abbrechen,İptal,キャンセル,Cancelar
first purchase bonus,The first charge bonus,첫 충전 보너스,Bonus di prima ricarica,Первый бонусный заряд,El primer bono carga,Le premier bonus de charge,Erster Kaufbonus,İlk Satın Alma Bonusu,最初のチャージボーナス,bónus de primeiro carregamento
free,Free,무료,Gratis,Бесплатно,Gratis,Libre,Frei,Bedava,準備完了,Grátis
exit,EXIT,나가기,ESCI,ВЫХОД,SALIR,SORTIR,BEENDEN,ÇIKIŞ,戻る,Sair
max level,MAX LEVEL,MAX LEVEL,LIVELLO MASSIMO,МАКС. УРОВЕНЬ,MÁXIMO NIVEL,NIVEAU MAXIMUM,MAXIMALES LEVEL,EN ÜST SEVİYE,設定,Nível máximo
hero alert,Heroes will be available in the game. All stages can be cleared without a hero. There are also stage the hero is prohibited.,영웅은 게임 내에서 사용 가능합니다. 모든 스테이지는 영웅 없이 클리어 할 수 있습니다. 영웅 사용이 금지된 스테이지도 있습니다.,Gli eroi sono disponibili nel gioco. Tuttavia tutti gli stage possono essere vinti senza l'uso di eroi. Sono anche presenti stage in cui l'uso degli eroi è proibito.,"Герои доступны. Но все этапы можно пройти и без них. Более того, на некоторых этапах нельзя их использовать.",Héroes estarán disponibles en el juego. Todas las etapas se pueden borrar sin un héroe. También hay escenario está prohibido el héroe.,Heroes seront disponibles dans le jeu. Toutes les étapes peuvent être effacées sans héros. Il y a aussi le héros scène est interdite.,"Helden können dir im Spiel helfen. Alle Kapitel können ohne Helden beendet werden, es gibt jedoch auch Kapitel in denen Helden verboten sind.",Kahramanlar oyunda alınabilir olacaktır.Tüm bölümler bir kahraman olmadan da bitirilebilir. Ayrıca burada kahramanın kullanılamadığı bir bölümde mevcuttur.,ヒーローはゲーム内で使用可能です。すべてのステージはヒーローなしでクリアできます。ヒーロー使用禁止のステージがあります。,Os heróis estarão disponíveis durante o jogo. Todas as missões podem ser passadas sem herói. Há missões em que o herói é proibido
skill,SKILL,스킬,ABILITÀ,НАВЫК,HABILIDAD,COMPÉTENCE,FERTIGKEIT,BECERİ,スキル,Habilidades
attack capital,ATTACK,공격,ATTACCO,АТАКА,ATAQUE,ATTAQUE,ANGRIFF,SALDIRI,攻撃,ataque
success,SUCCESS,성공,RIUSCITA,УСПЕХ,ÉXITO,SUCCÈS,ABGESCHLOSSEN,BAŞARI,成功,sucesso
setting,SETTINGS,설정,IMPOSTAZIONI,НАСТРОЙКИ,Ajustes,Paramètres,OPTIONEN,AYARLAR,設定,definições
common hero,Common hero,일반적인 영웅,Eroe comune,Обычный Герой,héroe común,héros commun,Gewöhnlicher Held,Sıradan Kahraman,普通のヒーロー,herói comum
good hero,Good hero,좋은 영웅,Eroe normale,Славный Герой,buen héroe,bon héros,Ungewöhnlicher Held,Normal Kahraman,いいヒーロー,herói bom
great hero,Great hero,위대한 영웅,Eroe grande,Великий Герой,gran héroe,grand héros,Großartiger Held,Harika Kahraman,偉大なヒーロー,herói grande
rare hero,Rare hero,희귀 영웅,Eroe raro,Редкий Герой,extraño héroe,rare héros,Seltener Held,Nadir Kahraman,珍しいヒーロー,herói raro
epic hero,Epic hero,에픽 영웅,Eroe epico,Эпический Герой,héroe épico,héros épique,Epischer Held,Destansı Kahraman,エピックヒーロー,herói épico
easy mode,Easy,쉬움,Facile,Легкий,Fácil,Facile,Einfach,Kolay,簡単,Fácil
normal mode,Normal,보통,Normale,Нормальный,Normal,Normale,Normal,Normal,普通,Normal
hell mode,Hell,지옥,Inferno,Ад,Infierno,Enfer,Hölle,Cehennem,地獄,Inferno
hard mode,Hard,어려움,Difficile,Жесткий,Duro,Dur,Hart,Zor,難しい,Duro
