order,english,korean,spanish
getFullVersion,FULL PACKAGE,풀 패키지,VERSIÓN COMPLETA
menu,MENU,메뉴,MENÚ
ok,OK,확인,OK
cancel,Cancel,취소,Cancelar
exit,EXIT,나가기,SALIR
league,League,리그,Liga
next league,NEXT LEAGUE,다음 리그 진출,SIGUIENTE LIGA
time,Time,시간,Tiempo
enemy killed,Killed Enemy,처지한 적,Enemigos eliminados
your rank,My rank,내 순위,Mi rango
purchase success,PURCHASE COMPLETE,구매 완료,COMPRA REALIZADA
colosseum,COLOSSEUM,콜로세움,COLISEO
video not available,Video is not available now,광고가 준비되지 않았습니다,El video no está disponible
ticket received,You received a golden ticket.,티켓이 지급되었습니다.,Has recibido un ticket dorado
BEGINNER,BEGINNER,비기너,PRINCIPIANTE
BRONZE,BRONZE,브론즈,BRONCE
SILVER,SILVER,실버,PLATA
GOLD,GOLD,골드,ORO
PLATINUM,PLATINUM,플래티넘,PLATINO
DIAMOND,DIAMOND,다이아몬드,DIAMANTE
MASTER,MASTER,마스터,MAESTRO
GRAND MASTER,GRAND MASTER,그랜드 마스터,GRAN MAESTRO
LEGENDARY,LEGENDARY,전설,LEYENDA
congratulations,Congratulations,축하합니다,Enhorabuena
league reward promotion,I can’t believe how amazing you are! You are just promoted to the next league with the reward below.,축하합니다! 어마어마한 기록이네요. 아래 보상과 함께 다음 리그로 승급되었습니다!,¡No puedo creer lo increíble que eres! Acabas de ascender a la siguiente liga. Esta es tu recompensa.
league reward,Awesome! You are record was amazing! I can’t wait to watch your next battle!,엄청나네요! 높은 성적으로 리그를 통과하여 아래와 같은 보상을 얻었습니다. 다음 배틀도 기대하겠습니다!,¡Increíble! ¡Tu récord ha sido brutal! No puedo esperar a ver tu próxima batalla.
league reward normal,Good job! I am sure you can get a better rank next time.,훌륭합니다! 내일은 더 높은 기록을 얻을 수 있을 것 같네요!,¡Buen trabajo! Seguro que puedes conseguir un rango mejor la próxima vez.
league result down,It was so close! Let’s try this league when we are ready. How about we go down a little bit?,아깝네요! 엄청난 경쟁자들이 순위를 모두 차지했네요. 조금 덜 치열한 전장으로 가볼까요?,¡Casi! Intentémoslo de nuevo cuando estemos listos. ¿Qué tal si bajamos un poco el listón?
league result,RESULT,리그 결과,RESULTADO
challenge arena,Be the first player to challenge today’s arean!,오늘의 아레나의 첫 번째 도전자가 되어주세요!,¡Sé el primero en desafiar la arena hoy!
rank,RANK,순위,RANGO
reward,REWARD,보상,RECOMPENSA
not enough ticket,Not enough tickets,티켓이 부족합니다.,No tienes tickets suficientes
server fail try again,Failed to connect with Server,서버 접속에 실패 했습니다.,Error al conectar con el servidor
play,PLAY,플레이,JUGAR
back key exit,What? Exit? Really?,뭐시라?! 나가겠다고?!,¿Qué? ¿Te vas? ¿En serio?
option,OPTION,옵션,OPCIONES
save,SAVE,저장하기,GUARDAR
load,LOAD,불러오기,CARGAR
arena,ARENA,아레나,ARENA
coming soon,COMING SOON,커밍 순,PRÓXIMAMENTE 
buy,BUY,구매하기,COMPRAR
beta alert,This is in BETA state. It might not work properly :P,베타 테스트 중입니다. 정상적으로 동작하지 않을 수도 있어용^^;,Esta es una versión BETA. Puede que no funcione correctamente :p
select support,GET,선택,CONSEGUIR
