key,english,korean,italian,russian,spanish,french,german,turkish,japanese,pt
free,Free,무료,Gratuito,Свободно,Libre,Libre,Frei,Özgür,無料,Grátis
getFullVersion,FULL PACKAGE,풀 패키지,VERSIONE COMPLETA,ПОЛНАЯ ВЕРСИЯ,VERSIÓN COMPLETA,VERSION COMPLÈTE,KOMPLETTPACKET,TÜM PAKET,Full Package,Pacote Completo
korean,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어
english,English,English,English,English,English,English,English,English,English,English
russian,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский
french,français,français,français,français,français,français,français,français,français,français
turkish,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe
Italian,Italian,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,İtalyanca,Italiano,italiano
german,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
spanish,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español
japanese,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語
portuguese,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português
language,Language,언어,Lingua,Язык,Idioma,Langue,Sprache,Dil,言語,Linguagem
menu,MENU,메뉴,MENU,МЕНЮ,MENÚ,MENU,MENÜ,MENÜ,メニュー,Menu
ok,OK,확인,OK,ОК,OK,OK,OK,TAMAM,確認,OK
cancel,Cancel,취소,Annulla,Отмена,Cancelar,Annuler,Abbrechen,İptal,キャンセル,Cancelar
first purchase bonus,The first charge bonus,첫 충전 보너스,Bonus di prima ricarica,Первый бонусный заряд,El primer bono carga,Le premier bonus de charge,Erster Kaufbonus,İlk Satın Alma Bonusu,最初のチャージボーナス,bónus de primeiro carregamento
free,Free,무료,Gratis,Бесплатно,Gratis,Libre,Frei,Bedava,準備完了,Grátis
exit,EXIT,나가기,ESCI,ВЫХОД,SALIR,SORTIR,BEENDEN,ÇIKIŞ,戻る,Sair
max level,MAX LEVEL,MAX LEVEL,LIVELLO MASSIMO,МАКС. УРОВЕНЬ,MÁXIMO NIVEL,NIVEAU MAXIMUM,MAXIMALES LEVEL,EN ÜST SEVİYE,設定,Nível máximo
hero alert,Heroes will be available in the game. All stages can be cleared without a hero. There are also stage the hero is prohibited.,영웅은 게임 내에서 사용 가능합니다. 모든 스테이지는 영웅 없이 클리어 할 수 있습니다. 영웅 사용이 금지된 스테이지도 있습니다.,Gli eroi sono disponibili nel gioco. Tuttavia tutti gli stage possono essere vinti senza l'uso di eroi. Sono anche presenti stage in cui l'uso degli eroi è proibito.,"Герои доступны. Но все этапы можно пройти и без них. Более того, на некоторых этапах нельзя их использовать.",Héroes estarán disponibles en el juego. Todas las etapas se pueden borrar sin un héroe. También hay escenario está prohibido el héroe.,Heroes seront disponibles dans le jeu. Toutes les étapes peuvent être effacées sans héros. Il y a aussi le héros scène est interdite.,"Helden können dir im Spiel helfen. Alle Kapitel können ohne Helden beendet werden, es gibt jedoch auch Kapitel in denen Helden verboten sind.",Kahramanlar oyunda alınabilir olacaktır.Tüm bölümler bir kahraman olmadan da bitirilebilir. Ayrıca burada kahramanın kullanılamadığı bir bölümde mevcuttur.,ヒーローはゲーム内で使用可能です。すべてのステージはヒーローなしでクリアできます。ヒーロー使用禁止のステージがあります。,Os heróis estarão disponíveis durante o jogo. Todas as missões podem ser passadas sem herói. Há missões em que o herói é proibido
skill,SKILL,스킬,ABILITÀ,НАВЫК,HABILIDAD,COMPÉTENCE,FERTIGKEIT,BECERİ,スキル,Habilidades
attack capital,ATTACK,공격,ATTACCO,АТАКА,ATAQUE,ATTAQUE,ANGRIFF,SALDIRI,攻撃,ataque
success,SUCCESS,성공,RIUSCITA,УСПЕХ,ÉXITO,SUCCÈS,ABGESCHLOSSEN,BAŞARI,成功,sucesso
setting,SETTINGS,설정,IMPOSTAZIONI,НАСТРОЙКИ,Ajustes,Paramètres,OPTIONEN,AYARLAR,設定,definições
common hero,Common hero,일반적인 영웅,Eroe comune,Обычный Герой,héroe común,héros commun,Gewöhnlicher Held,Sıradan Kahraman,普通のヒーロー,herói comum
good hero,Good hero,좋은 영웅,Eroe normale,Славный Герой,buen héroe,bon héros,Ungewöhnlicher Held,Normal Kahraman,いいヒーロー,herói bom
great hero,Great hero,위대한 영웅,Eroe grande,Великий Герой,gran héroe,grand héros,Großartiger Held,Harika Kahraman,偉大なヒーロー,herói grande
rare hero,Rare hero,희귀 영웅,Eroe raro,Редкий Герой,extraño héroe,rare héros,Seltener Held,Nadir Kahraman,珍しいヒーロー,herói raro
epic hero,Epic hero,에픽 영웅,Eroe epico,Эпический Герой,héroe épico,héros épique,Epischer Held,Destansı Kahraman,エピックヒーロー,herói épico
easy mode,Easy,쉬움,Facile,Легкий,Fácil,Facile,Einfach,Kolay,簡単,Fácil
normal mode,Normal,보통,Normale,Обычный,Normal,Normal,Normal,Normal,普通,Normal
hell mode,Hell,지옥,Inferno,Ад,Infierno,Enfer,Hölle,Cehennem,地獄,Inferno
hard mode,Hard,어려움,Difficile,Жесткий,Difícil,Dur,Schwer,Sert,難しい,Duro
sort by rarity,Sort by rarity,희귀 순으로 정렬,Ordina per rarità,Сортиров. по редкости,Ordenar por rareza,Trier par rareté,Sortieren nach Seltenheit,Nadirliğe göre sırala,レア順で整列,ordenar por raridade
sort by slot,Sort by slot,슬롯을 기준으로 정렬,Ordina per slot,Сортиров. по слотам,Ordenar por ranura,Trier par fente,Sortieren nach Typ,Yuvaya göre sırala,スロット基準で整列,ordenar por campo
fusion,Fusion,합성,Fusione,Объедин.,Fusión,La fusion,Fusionieren,Birleştir,合成,fusão
hero,Hero,영웅,Eroe,Герой,Héroe,héros,Held,Kahraman,ヒーロー,herói
not enough slot,Not enough slots in the deck.,덱에 슬롯이 부족합니다.,Non hai abbastanza slot nel mazzo.,Не хватает слотов в колоде.,No hay suficientes ranuras de la cubierta.,Pas assez d'emplacements dans la plate-forme.,Nicht genügend Plätze im Deck frei.,Destende yeterli yuva yok.,デッキにスロットがありません。,não tem espaço no baralho
network reset,Network Reset,네트워크 재설정,Resetta Network,Сброс Данных,Restaurar red,Réinitialisation réseau,Netzwerk-Reset,Ağ Sıfırlama,ネットワーク再設定,Limpar a Rede
network reset warning,Network data will be erased. Scenario mode data is not affected. Do you want to continue?,네트워크 데이터를 초기화 합니다. 시나리오 모드 데이터는 초기화 되지 않습니다. 초기화 하시겠습니까?,I dati del Network veranno eliminati. Tuttavia i dati della modalità scenario non veranno modificati. Vuoi continuare?,Сетевые данные будут удалены. Данные режима кампании не затрагиваются. Продолжить?,Se borrarán los datos de la red. Los datos del modo de escenario no se ven afectados. ¿Quieres continuar?,Toutes les données en ligne vont être effacées. Le mode scenario n'est pas affecté. Voulez-vous continuer ?,Netzwerkdaten werden gelöscht. Szenariodaten sind davon nicht betroffen. Willst du fortfahren?,Ağ verileri silinecek. Senaryo modu bundan etkilenmeyecektir. Devam etmek istiyor musun?,ネットワークデータを初期化します。シナリオモードのデータは初期化されません。初期化しますか？,Os dados da rede serão apagados. Os dados do modo de cenário não são afetados. Você quer continuar?
limited package,Limited Package,한정 패키지,Pacchetto limitato,Временный Набор,paquete Limited,Groupe Limited,Limitiertes Paket,Sınırlı Paket,限定パッケージ,pacote limitado
martial art package,Monks package,수도승 패키지,Pacchetto dei monaci,Набор Монаха,paquete de monjes,paquet moines,Monks Paket,Monk Paketi,僧侶パッケージ,pacote monge
classic war package,War Basic Package,전쟁 기본 패키지,Pacchetto Basi della Guerra,Набор Новобранца,Guerra Paquete Básico,Guerre Forfait de base,Basis Kriegs Paket,Temel Savaş Paketi,戦争の基本的なパッケージ,pacote básico de guerra
master crew package,Master Crew,마스터 크루,Equipaggio del Comandante,Мастер Команды,Equipo master,maître Crew,Meister Besatzung,Uzman Tayfa,マスタークルー,equipa principal
crew manager package,Crew Manager,크루 매니저,Responsabile dell'equipaggio,Менеджер Команды,Director de la tripulación,Crew Manager Package,Crew Manager,Usta Birliği,クルーマネージャー,gestor de equipa
you cannot build there,You can not build there,거기에 건축 할 수 없습니다.,Non puoi costruire qui.,Вы не можете строить здесь.,No se puede construir alli,Vous ne pouvez pas construire ici,Du kannst hier nicht bauen,Buraya inşa edemezsin,そこには建てられません。,não pode construir aqui
mission cleared,MISSION CLEARED,미션 성공,MISSIONE COMPLETATA,МИССИЯ ВЫПОЛНЕНА,MISIÓN COMPLETADA,MISSION RÉUSSIE,MISSION ABGESCHLOSSEN,GÖREV BAŞARIYLA TAMAMLANDI,ミッション成功,missão passada
mission failed,MISSION FAILED,미션 실패,MISSIONE FALLITA,МИССИЯ ПРОВАЛЕНА,MISIÓN FALLIDA,MISSION ÉCHOUÉE,MISSION FEHLGESCHLAGEN,GÖREV BAŞARISIZ,ミッション失敗,missão falhada
