order,english,korean,spanish,russian
getFullVersion,FULL PACKAGE,풀 패키지,VERSIÓN COMPLETA,ПОЛУЧИТЬ ПОЛНУЮ ВЕРСИЮ
menu,MENU,메뉴,MENÚ,МЕНЮ
ok,OK,확인,OK,ОК
cancel,Cancel,취소,Cancelar,ОТМЕНИТЬ
exit,EXIT,나가기,SALIR,ВЫХОД
setting,SETTING,설정,Ajustes,настройки
network reset warning,Network data will be erased. Scenario mode data is not affected. Do you want to continue?,네트워크 데이터를 초기화 합니다. 시나리오 모드 데이터는 초기화 되지 않습니다. 초기화 하시겠습니까?,Se borrarán los datos de la red. Los datos del modo de escenario no se ven afectados. ¿Quieres continuar?,Сетевые данные будут удалены. Данные режима сценария не затрагиваются. Вы хотите продолжить?
you cannot build there,You can not build there,거기에 건축 할 수 없습니다.,No se puede construir alli,Вы не можете построить там
mission clear,MISSION CLEAR,미션 성공,MISIÓN COMPLETADA,МИССИЯ ВЫПОЛНЕНА
mission failed,MISSION FAILED,미션 실패,MISIÓN FALLIDA,МИССИЯ ПРОВАЛЕНА
premium retry,PREMINUM START,프리미엄 스타트,PREMINUM START,ПРЕМИУМ СТАРТ
premium retry desc,Re-start this stage with the resources,위 자원을 받고 시작하세요,Re-start this stage with the resources,Попробуйте пройти уровень с ресурсами
not enough barracks use gem,There is no barracks available. Do you want to use gems to finish the job?,모든 병영이 사용중입니다. 보석을 사용해 진행중인 작업을 완료하시겠습니까?,No hay cuarteles disponible. ¿Quieres usar gemas para terminar el trabajo?,"Там нет казарм доступны. Вы хотите использовать драгоценные камни, чтобы закончить работу?"
not enough worker use gem,All workers are under construction. Do you want to use gems to finish the job?,모든 일꾼들이 작업중입니다. 보석을 사용해 진행중인 작업을 완료하시겠습니까?,Todos los trabajadores están en construcción. ¿Quieres usar gemas para terminar el trabajo?,"Все рабочие находятся в стадии строительства. Вы хотите использовать драгоценные камни, чтобы закончить работу?"
already hired,This soldier is already hired.,이 병사는 이미 고용되었습니다.,Este soldado ya está contratado.,Этот солдат уже наняли.
fire ask,Do you want to fire this soldier?,이 병사를 해고 하시겠습니까?,¿Quieres disparar este soldado?,"Вы хотите, чтобы уволить этот солдат?"
yes,YES,예,SÍ,ДА
no,NO,아니오,NO,НЕТ
new soldiers,New soldiers,새로운 군인,Los nuevos soldados,Новые солдаты
deck,DECK,덱,CUBIERTA,DECK
inventory,INVENTORY,인벤토리,INVENTARIO,ИНВЕНТАРИЗАЦИЯ
refresh,Refresh,새로고침,Refrescar,обновление
surrender,Surrender,항복,Rendición,капитуляция
next match,Next opponent,다음 상대,próximo rival,Следующий соперник
select ground to place soldiers,Pressing empty ground will start the battle,빈 땅을 누르면 전투가 시작됩니다,Al pulsar suelo vacío comenzará la batalla,Нажатие пустой земли начнется бой
not enough soliders,There is no soldier to attack.,공격 할 병사가 없습니다.,No hay ningún soldado para atacar.,Там нет солдат атаковать.
revenge,Revenge,반격,Venganza,Месть
defence record,Defence record,방어 기록,registro de defensa,запись обороны
top rank,Top rank,상위 순위,Bromear,Топ ранг
visit,VISIT,방문,VISITAR,ВИЗИТ
sound,SOUND,소리,SONAR,SOUND
receive,Receive,받기,Recibir,Получать
day 1,Day 1,1 일,Día 1,1 день
24 hours,24 hours,24 시간,24 horas,24 часа
6 hours,6 hours,6 시간,6 horas,6 часов
shield desc,Prevent losing resources,손실 자원을 방지,Evitar que los recursos que pierden,Предотвращения потери ресурсов
expired,Expired,만료,Muerto,Истекший
daily mission 0,Win a Arena battle,아레나 전투를 승리,Gana una batalla en la arena,Выиграйте битву Арены
daily mission 1,Win a CAMPAIGN,캠페인 승리,Ganar una campaña,Выиграй КАМПАНИИ
daily mission 2,Win a network battle,네트워크 전투를 승리,Gana una batalla de red,Выиграйте битву сети
daily mission 3,Win a local battle,로컬 전투를 승리,Gana una batalla locales,Выиграйте местный бой
network battle,Network battle,네트워크 전투,batalla de red,Сетевые сражения
local battle,Local battle,로컬 전투,batalla local,Локальная битва
challenge,Challenge,도전,Reto,Вызов
daily mission,Daily mission,일일 임무,Misión diaria,Ежедневная миссия
daily reward,Daily reward,매일 보상,Recompensa diaria,Ежедневные награды
special offer,Special offer,특별 상품,Oferta especial,Специальное предложение
